created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi,
06-12-2021,1500,1200,8,6,0,8,Cileungsi,SHM,17600,,9900000000,https://www.rumah.com/listing-properti/dijual-limus-nunggal-cileungsi-bogor-oleh-sancoyo-19056000,"Akses mobil besar 40 ft bisa masuk, parkir mobil cukup luas",
06-12-2021,699,350,5,5,0,2,Babakan Madang,SHM,3500,,7300000000,https://www.rumah.com/listing-properti/dijual-rumah-bagus-plus-kolam-renang-siap-huni-Babakan Madang-city-oleh-dian-permana-saputra-18852353,"Plus kolam renang Babakan Madang, dekat dengan fasilitas Babakan Madang, dan pusat pembelanjaan, exit tol hanya 5 menit",
06-12-2021,120,70,3,3,0,2,Babakan Madang,SHGB,2200,,1538200000,https://www.rumah.com/listing-properti/dijual-rumah-di-Babakan Madang-bogor-dekat-tol-stasiun-lrt-murah-modern-minimalis-tipe-agra-deluxe-70-120-oleh-asa-pertiwi-19057208,Dekat tol dan stasiun LRT,
06-12-2021,60,50,3,2,0,1,Babakan Madang,SHGB,2200,,891500000,https://www.rumah.com/listing-properti/dijual-rumah-di-Babakan Madang-bogor-dekat-tol-stasiun-lrt-murah-modern-minimalis-tipe-aruna-deluxe-50-60-oleh-asa-pertiwi-19057144,Dekat tol dan stasiun LRT,
06-12-2021,60,40,2,1,0,1,Babakan Madang,SHGB,2200,,811400000,https://www.rumah.com/listing-properti/dijual-rumah-di-Babakan Madang-bogor-dekat-tol-stasiun-lrt-murah-modern-minimalis-tipe-aruna-40-60-oleh-asa-pertiwi-19056958,Dekat tol dan stasiun LRT,
06-12-2021,60,60,2,1,0,1,Bojonggede,SHM,900,,420000000,https://www.rumah.com/listing-properti/dijual-rumah-cantik-didalam-komplek-perumahan-oleh-james-umboh-19072727,"13 menit ke stasiun kereta, 22 menit ke Mall CCM, pintu tol citereup&Babakan Madang sirkuit",
06-12-2021,72,62,3,2,0,2,Cibinong,SHGB,2200,,800000000,https://www.rumah.com/listing-properti/dijual-emerald-city-cibinong-oleh-m-gatot-aryo-wibowo-19273403,"15 menit gerbang tol Babakan Madang dan citeureup, 5 menit cibinong city mall, Al Azhar Islamic School",
06-12-2021,60,30,2,1,0,1,Parung,SHGB,1300,,241000000,https://www.rumah.com/listing-properti/dijual-rumah-tanpa-dp-di-parung-oleh-rudy-junaedy-19181221,Rumah tanpa dp dan siap huni,
06-12-2021,66,36,2,1,0,1,Gunungsindur,SHM,1300,,390000000,https://www.rumah.com/listing-properti/dijual-alfalah-4-rawakalong-oleh-syarifuddin-arif-17454354,"Bebas banjir, dekat dengan falitas-fasilitas umum",
06-12-2021,60,36,2,1,0,1,Gunungsindur,SHM,1300,,379000000,https://www.rumah.com/listing-properti/dijual-felicia-residence-rawakalong-oleh-syarifuddin-arif-19336237,"sebelah SPBU rawa kalong, akses jalan bisa masuk 2 mobil, lintas angkot Parung-BSD",
