Created_at,LT(m²),LB(m²),KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,Deskripsi
06-12-2021,50,57,2,1,,1,Gunung Anyar,SHM,,,886540000,https://onlist.id/detil/dijual-rumah-baru-tipe-sora-amesta-living-surabaya-timur-288739,"Dijual Rumah Baru Tipe Sora Amesta Living Surabaya Timur

Perumahan di 0 Jalan Raya OERR dikembangkan oleh PT. Graha Abdael Sukses (Kolaborasi Intiland & Abdael Nusa). Berdiri di lahan seluas 60 hektar dengan konsep Mix Used terpadu di Surabaya Timur"
06-12-2021,90,70,3,2,,,Sukolilo,SHM,2200,selatan,1100000000,https://onlist.id/detil/dijual-rumah-perum-sukolilo-dian-regency-1-surabaya-timur-288705,Dijual Rumah Perum Sukolilo Dian Regency 1 Surabaya Timur
06-12-2021,135,180,4,3,,,Mulyorejo,SHM,2200,selatan,3450000000,https://www.rumah123.com/properti/surabaya/hos9291609/,"Rumah New Gress design Minimalis di Wisma Permai, Siap Huni, dekat Galaxy Mall

LT : 135 m2, Dimensi 9x15, LB : +/- 180 m2, 2 lantai, KT : 4+1, KM : 3+1 (3 Km Dalam), Gudang, Dapur, Jemuran lantai 2, Carport + Canopy. Granit tile 80x80, Galvalum, SHM, PLN 2200 watt, Hadap selatan
Harga 3,45 M nego sampe deal"
06-12-2021,225,225,3,3,,,Tenggilis Mejoyo,SHM,5500,utara,3900000000,https://www.rumah123.com/properti/surabaya/hos9291620/,"DIJUAL RUMAH KENDANGSARI
STRATEGIS
_50meter dari Raya Kendangsari_
_200meter dari Raya Jemursari_
LT 325m² (13x25), LB 250m², KT 4+1 //KM 3, Gudang, Garasi 2mbl, SHM
Harga : 3.9M ( Nego )"
06-12-2021,132,132,3,3,,,Kenjeran,SHM,,,1720000000,https://www.rumah123.com/properti/surabaya/hos9291531/,"DIJUAL CEPAT , JUAL RUGI _Rumah Minimalis Kalijudan Asri_
- LT 132 (6x22), LB 2lt - 3+1 kt & 3+1 km - SHM - ROW 3mbl & 3mnt dari MERR - Kondisi sangat bagus - Cocok utk rumah & kantor
_Hrg 1,725 M ( nego )"
06-12-2021,123,45,2,1,,1,Benowo,SHM,1300,timur,550000000,https://www.rumah123.com/properti/surabaya/hos9291506/,"*Paling Termurah Dijual Rumah Griya Citra Asri Benowo Citraland Surabaya Barat* * Developer Citraland *Paling Termurah Sa komplek * Butuh Cepat Laku
Luas tanah 123, Luas bangunan 45, Dimensi 7 X 17.5, Kamar tidur 2, Kamar mandi 1, *Harga Rp 550 Juta Nego* Surat SHM, Hadap Timur.
"
06-12-2021,220,350,4,4,1,2,Sukolilo,SHM,4400,utara,3500000000,https://www.rumah123.com/properti/surabaya/hos9291444/,"Rumah dijual SbyTmr Panjang Jiwo Permai Blok C no.5
LT10x22m 220m, LB±350m 2Lantai, 4KT+2 5KM+1, Carport 2mbl, Garasi 1mobil, PLN 4400w/PAM, AC, Water heater, TandonAtas, Keamanan One Gate sistem, Sertifikat SHM
Hrg Rp3,5M Negotiable"
06-12-2021,72,110,3,2,,2,Mulyorejo,SHGB,2200,selatan,2100000000,https://www.rumah123.com/properti/surabaya/hos9291443/,"Dijual Rumah 2lantai
*BARU GRESS PAKUWON CITY*
*Grand Island Cluster Zimbali Costa*
LT: 6 x 15 {72m²}, LB : 110m², KT : 3 + 1, KM : 2 + 1, Carport 2 mbl, Granite Tile : 60 x 60, Pln : 2200 watt, Sertifikat : HGB, Hadap : Selatan, Pondasi Tiang Pancang 26m (bkn plat lajur), Sanitari Toto, Kusen alminium alexsido, Tampak depan pakai granit travertin
"
06-12-2021,240,300,4,4,1,1,Mulyorejo,SHM,5500,selatan,4800000000,https://www.rumah123.com/properti/surabaya/hos9291372/,"Rumah Dijual, Taman Mutiara, Pakuwon City, Surabaya Timur
Lt 240, Lb 300, KT 4+1, KM 4+1, SHM, Full Furnished
Harga Rp 4.8M Nego"
06-12-2021,240,300,4,4,1,2,Mulyorejo,SHM,4400,timur,4700000000,https://www.rumah123.com/properti/surabaya/hos9291329/,"Rumah Dijual Surabaya JUAL RUMAH CLASSIC PAKUWON CITY
LT. 240M² (15X16), LB. 300M² ( SPLIT LEVEL)
KT. 4+1, KM. 4+1 (2 KM DALAM), *SHM*, HOOK TIMUR SELATAN, (PINTU UTAMA HADAP TIMUR), LISTRIK 4400W, CARPORT 2GARASI 1
*ROW JALAN 3 MOBIL* HARGA JUAL *4.7M NEGO*"
