created_at,LT (M2),LB (M2),KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,Deskripsi 
06-12-2021,100,120,3,3,,1,Denpasar,SHM,2200,Timur,1299000000,https://www.rumah.com/listing-properti/dijual-1-unit-rumah-tipe-besar-di-gatsu-denpadar-barat-oleh-ida-bagus-putra-ardianta-18352760,"Sisa 1 unit tterakhir tipe BESAR dengan bangunan 120/100 siap bangun. 1 menit ke MCD dan KFC gatsu barat, 2 menit ke polresta denpasar, 7 menit ke canggu, 5 menit ke jalan mahendradata."
06-12-2021,57,70,2,2,,1,Denpasar,SHM,2200,Barat,699000000,https://www.rumah.com/listing-properti/dijual-pusat-kota-denpasar-town-house-bangunan-luas-ga-sempit-dekat-tengku-umar-sesetan-oleh-ida-bagus-putra-ardianta-17626504,"Hunia luas lega berkelas style villa di kota denpasar, tepatnya di jalan pulau singkep,pedungan denpasar selatan"
06-12-2021,104,110,3,2,1,1,Badung,SHM,2200,Selatan,1200000000, https://www.rumah.com/listing-properti/dijual-rumah-dijual-oleh-kadeknick-19191653,"Dijual Rumah Lantai 2 Modern Minimalis Full Furnish. Lokasi Abianbase .Dalung ,Badung Bali"
06-12-2021,100,150,4,2,,1,Denpasar,SHM,2200,,1650000000,https://www.rumah.com/listing-properti/dijual-rumah-dijual-design-menarik-tenang-dan-nyaman-jfs-oleh-brigita-19394207,"Rumah 2 Lantai dengan Design Menarik dan Semi Furnished. 15 menit ke lapangan Puputan Renon, 15 menit ke Internasional bandara Ngurah Rai, 15 menit ke Pantai Kuta. "
06-12-2021,147,100,2,2,,,Badung,SHM,1300,,1900000000,https://www.rumah.com/listing-properti/dijual-rumah-asri-jimbaran-badung-terrace-mumbul-bali-htob-oleh-brigita-19394146,"Rumah Asri Di jimbaran Bali 5 Menit dari Tol Nusa Dua. Dekat tol, 5 menit TOL NUSA DUA. 25 menit ke GWK. 20 menit ke AIR PORT. 20menit ke TANJUNG BENOA. 15 meit ke BTDC. Ada kolam renang, FULL FURNISH. "
06-12-2021,180,120,3,2,,3,Denpasar,SHM,3500,Utara,1500000000,https://www.rumah.com/listing-properti/dijual-rumah-luas-dijual-dekat-smk-parada-denpasar-bali-mdo-oleh-brigita-19394234,Rumah Luas dijual di dekat Sekolah Denpasara
06-12-2021,156,192,3,4,1,,Badung,SHM,4400,Selatan,1800000000,https://www.rumah.com/listing-properti/dijual-rumah-murah-fully-furnished-one-gate-di-mumbul-fhcg-oleh-brigita-19394267,Dijual Rumah Murah Luas Fully Furnished di Mumbul Balui. One gate system + security. Suasana tenang dan nyaman dengan view GWK. Dijamin bebas banjir. Jarak masuk tol bali mandara 5 menit. Airport ngurah rai 20 menit. Pantai pandawa 15 menit. Pantai melasti 15 menit. GWK 15 menit 
06-12-2021,200,135,3,3,,,Denpasar,SHM,2200,,4500000000,https://www.rumah.com/listing-properti/dijual-rumah-strategis-siap-huni-sudah-renov-dtdw-oleh-brigita-19394301,Lokasi sangat strategis Perumahan persis di seberang Trans Studio Mall. One Gate System 24 Jam Security. Jalan Aspal Lebar 8 m bisa buat Jogging. Lingkungan Sangat Nyaman 
06-12-2021,95,143,2,2,,1,Badung,SHM,4400,,1625000000,https://www.rumah.com/listing-properti/dijual-rumah-dijual-jl-pantai-pandawa-badung-mda-fsb-oleh-brigita-19394295,"Rumah baru style villa dekat PANTAI PANDAWA JIMBARAN - BALI. Dekat :Pantai Pandawa & Melasti 3 menit, GWK Bali 10 menit, Pantai Kuta 20 menit."
06-12-2021,100,122,4,4,,2,Badung,SHM,2200,Timur,2800000000,https://www.rumah.com/listing-properti/dijual-rumah-modern-dan-nyaman-lokasi-strategis-rnb-oleh-brigita-19394368,"Dijual rumah baru Sunset Road, Kuta. Lokasi sangat strategis : 10 menit ke Airport, 6 menit ke Pia Legong, 5 menit ke Sushi Tei, 5 menit ke Grand Lucky Supermarket, 5 menit ke Papaya (Supermarket Japan), 4 menit ke Mall Bali Galleria, 4 menit ke Siloam Hospital, 2 menit ke Carrefour Supermarket "
06-12-2021,135,200,5,3,1,1,Denpasar,SHM,5500,Barat,1900000000,https://www.rumah.com/listing-properti/dijual-rumah-dua-lantai-di-mertasari-denpasar-mdo-oleh-brigita-19394803,"Rumah Dua Lantai Fully Furnished. lokasi strategis dekat pet shop, dekat toko bangunan, dekat bakso premium, dekat kantor brighton sunrise. "
06-12-2021,70,60,3,2,,,Badung,SHM,1300,,850000000,https://www.rumah.com/listing-properti/dijual-rumah-minimalis-di-jimbaran-nusa-dua-bali-ncn-oleh-brigita-19394046,"Dijual Rumah Minimalis 2 Lantai Di Jimbaran, Nusa Dua Bali"
06-12-2021,123,140,3,4,,2,Denpasar,SHM,2200,,2300000000,https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-furnished-di-komplek-perumahan-elite-denpasar-selatan-bali-psh-oleh-brigita-19393999,Rumah 2 Lantai Furnished Di Perumahan Elite Denpasar Selatan Bali. Akses 6 meter Paving Komplek Perumahan Elite. One Gate Systems (sistem kunci).
06-12-2021,76,110,3,3,,,Denpasar,SHM,2200,,850000000,https://www.rumah.com/listing-properti/dijual-rumah-dijual-sesetan-bali-bpd-oleh-brigita-19394024,"Rumah di Sesetan Denpasar Bali. Dijual rumah sangat BUC, are rumah sangat sunyi, ada view sawah, dengan suasana sejuk, di jual karena owner banyak punya rumah, dan supaya ada orng beli."
06-12-2021,125,84,2,2,2,2,Denpasar,SHM,2200,Selatan,1100000000,https://www.rumah.com/listing-properti/dijual-komang-bali-oleh-putri-19391060,"Di jual rumah minimalis, letak strategis."
30-11-2021,111,70,3,2,,1,Denpasar,SHM,2200,Selatan,875000000,https://www.lamudi.co.id/turun-harga-rumah-minimalis-murah-papasan-mobil-di-kerta-dalem-denpasar.html,"Dijual rumah 1 lantai di KertaDalem, sidakarya-Denpasar Selatan"
06-12-2021,150,115,3,2,,,Denpasar,SHM,4400,Timur,1450000000,https://www.rumah123.com/properti/denpasar/hos8906231/,"Rumah minimalis area Sanur. Lokasi Pengiyasan Sanur,Kondisi kosongan"
06-12-2021,78,87,3,2,,1,Badung,SHM,2200,Selatan,990000000,https://www.rumah123.com/properti/badung/hos9290469/,"Rumah 2 lantai Jimbaran Badung Bali, Lingkungan perumahan jalan paping nyaman asri dan bebas banjir
10 menit menuju Bandara International I Gusti Ngurah Rai
Dekat dengan objek wisata GWK, dan dekat dengan fasilitas umum lainnya seperti Supermarket, Sekolah, dll"
03-12-2021,65,60,2,3,,1,Denpasar,SHM,1300,Timur,875000000,https://www.rumah123.com/properti/denpasar/hos9276813/,"Rumah Minimalis Harga Ekonomis Kawasan Villa Residence di Sanur, Denpasar dekat Renon"
