created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga (Rp),URL,deskripsi 
06-06-2023,140,70,3,2,0,1,"Bukit Kecil, Palembang",SHM,1300,,775000000,"Dijual Cepat Dan Murah, Rumah di Komplek Permata Siguntang | Rumah123.com","Dijual Cepat dan Murah
rumah secondary di Komplek perumahan permata bukit siguntang palembang"
06-06-2023,96,40,2,1,0,1,"Alang Alang Lebar, Palembang",SHM,1300,Utara,375000000,Rumah Minimalis Ala Scandanavian Dikota Palembang Hanya 300 Jutaan | Rumah123.com,"One gate sistem, security 24 jam, air pdam ats, listrik 1300 watt. Dan sudah ramai penduduk."
06-06-2023,90,42,2,1,0,1,"Alang Alang Lebar, Palembang",SHM,1300,Timur,400000000,"Cluster Elit Dan Lengkap di Palembang, Dp 5 Juta All In | Rumah123.com","Jalan lebar, sudah di cor, Air PAM ATS 24 Jam, Jogging Track, Mushola, Gedung Serbaguna, dll. promo bulan ini DP 5 Juta All in, Free Pajak dan BBN"
06-06-2023,99,57,2,1,0,1,"Ilir Timur li, Palembang",SHM,1300,Utara,600000000,"Rumah Baru di Lemabang Pusri, Hanya 500 Jutaan | Rumah123.com","di Lemabang PUSRI (hanya 50 meter dari jln RE Martadinata), hanya 300 meter ke JM Lembang"
06-06-2023,55,100,3,3,0,1,"Ilir Timur I, Palembang",SHM,2200,Timur,900000000,"Town House Tengah Kota Palembang, Km.5 Bisa Kpr Tanpa Bank | Rumah123.com","Town House siap Huni di Jln Letnan Murod talang ratu Palembang.
Hanya 100 Langkah ke jln Utam Kol H Burlian Km.5
Hanya 5 menit ke RSUD Siti Fatimah
"
06-06-2023,108,100,3,3,0,1,"Ilir Timur li, Palembang",SHM,1300,,850000000,Rumah 2 Lantai Murah Dan Strategis di Celatang Palembang | Rumah123.com,"Rumah 2 lantai Murah dan Strategis di Kota Palembang, Hanya 5 menit ke PT Pusri Palembang."
06-06-2023,90,36,2,1,0,1,"Sako, Palembang",SHM,1300,Barat,325000000,"Rumah Baru di Sako Palembang, Dp 10 All In | Rumah123.com","Cluster ekslusif dan minimalis di sako palembang

Green Bussan Village

yang terletak di pinggir jln lebak murni sako palembang.
"
06-06-2023,158,260,4,3,0,1,"Ilir Timur li, Palembang",SHM,3500,,2700000000,Rumah 2 Lantai Komplek Bhl Evergreen Jalan Residen Abdul Rozak Palembang | Rumah123.com,"Rumah kondisi bagus dan terawat, dalam komplek elit dan bergengsi komplek Evergreen.
One gate system, keamanan 24 jam. Lokasi di pusat kota, mudah dijangkau.
Dekat mall PTC, sekolah internasional Kusuma bangsa , Maitreya dll
Cocok untuk hunian keluarga, ataupun berinvestasi"
06-06-2023,120,54,3,1,0,1,"Seberang Ulu II, Palembang",SHM,2200,,800000000,Rumah keren dalam komplek | Rumah123.com,"Rumah Dijual Palembang Di jual Rumah lokasi dalam komplek Aman lokasi Dekat tabes kota palembang, Dekat poltabes Palembang"
06-06-2023,64,128,2,2,0,1,"Ilir Timur I, Palembang",SHM,1300,Barat,900000000,https://www.rumah123.com/properti/palembang/hos13657546/,"Strategis tengah kota, akses ke mana-mana mudah. Lingkungan aman dan nyaman."
06-06-2023,84,45,2,1,1,1,"Sukarame, Palembang",SHM,1300,Timur,475000000,https://www.rumah123.com/properti/palembang/hos13654716/,"Lokasi strategis
Desain Modern
Sudah di huni lebih dari 220 Kk
Dekat dari Jalan sukabangun 2 dan jalan Noerdin pandji arah bandara kenten"
06-06-2023,72,45,2,2,0,1,Sukarame,SHM,1300,Barat Daya,375000000,https://www.rumah123.com/properti/palembang/hos13654635/,"Lokasi strategis
Desain Modern
Sudah di huni lebih dari 220 Kk
Dekat dari Jalan sukabangun 2 dan jalan Noerdin pandji arah bandara kenten
Dekat dari Indomaret dan Alfamart"
06-06-2023,120,80,3,2,0,2,"Sako, Palembang",SHM,2200,,550000000,RUMAH BAGUS DAN NYAMAN DI KENTEN GARDENA 1 DI SAKO | Rumah123.com,"Rumah Dijualsewa Palembang DIJUAL RUMAH BAGUS DAN NYAMAN DI KENTEN GARDENA 1, SAKO BARU, KEC. SAKO, PALEMBANG.

LOKASI STRATEGIS BERADA DI TENGAH KOTA YANG LENGKAP AKAN FASILITAS UMUM SERTA KEBUTUHAN SEHARI-HARI."
06-06-2023,128,52,2,1,1,1,"Sukarame, Palembang",SHM,1300,Selatan,600000000,https://www.rumah123.com/properti/palembang/hos13592122/,"Rumah Semi Villa Idaman di KM 7 SUKARAMI

Akan memberikan sesuatu yang berbeda bagi anda dan keluarga.
Memberikan kenyamanan dan kebahagiaan pasti bagi anda dan keluarga"
